,location,number
0,WAKKANAI,47401
1,KITAMIESASHI,47402
2,HABORO,47404
3,OMU,47405
4,RUMOI,47406
5,ASAHIKAWA,47407
6,ABASHIRI,47409
7,OTARU,47411
8,SAPPORO,47412
9,IWAMIZAWA,47413
10,OBIHIRO,47417
11,KUSHIRO,47418
12,NEMURO,47420
13,SUTTSU,47421
14,MURORAN,47423
15,TOMAKOMAI,47424
16,URAKAWA,47426
17,ESASHI,47428
18,HAKODATE,47430
19,KUTCHAN,47433
20,MOMBETSU,47435
21,HIROO,47440
22,OFUNATO,47512
23,SHINJO,47520
24,WAKAMATSU,47570
25,FUKAURA,47574
26,AOMORI,47575
27,MUTSU,47576
28,HACHINOHE,47581
29,AKITA,47582
30,MORIOKA,47584
31,MIYAKO,47585
32,SAKATA,47587
33,YAMAGATA,47588
34,SENDAI,47590
35,ISHINOMAKI,47592
36,FUKUSHIMA,47595
37,SHIRAKAWA,47597
38,ONAHAMA,47598
39,WAJIMA,47600
40,AIKAWA,47602
41,NIIGATA,47604
42,KANAZAWA,47605
43,FUSHIKI,47606
44,TOYAMA,47607
45,NAGANO,47610
46,TAKADA,47612
47,UTSUNOMIYA,47615
48,FUKUI,47616
49,TAKAYAMA,47617
50,MATSUMOTO,47618
51,SUWA,47620
52,KARUIZAWA,47622
53,MAEBASHI,47624
54,KUMAGAYA,47626
55,MITO,47629
56,TSURUGA,47631
57,GIFU,47632
58,NAGOYA,47636
59,IIDA,47637
60,KOFU,47638
61,FUJISAN,47639
62,KAWAGUCHIKO,47640
63,CHICHIBU,47641
64,TATENO,47646
65,CHOSHI,47648
66,UENO,47649
67,TSU,47651
68,IRAKO,47653
69,HAMAMATSU,47654
70,OMAEZAKI,47655
71,SHIZUOKA,47656
72,MISHIMA,47657
73,TOKYO,47662
74,OWASE,47663
75,IROZAKI,47666
76,AJIRO,47668
77,YOKOHAMA,47670
78,TATEYAMA,47672
79,KATSUURA,47674
80,OSHIMA,47675
81,MIYAKEJIMA,47677
82,HACHIJOJIMA,47678
83,CHIBA,47682
84,YOKKAICHI,47684
85,NIKKO,47690
86,SAIGO,47740
87,MATSUE,47741
88,SAKAI,47742
89,YONAGO,47744
90,TOTTORI,47746
91,TOYOOKA,47747
92,MAIZURU,47750
93,HAGI,47754
94,HAMADA,47755
95,TSUYAMA,47756
96,KYOTO,47759
97,HIKONE,47761
98,SHIMONOSEKI,47762
99,HIROSHIMA,47765
100,KURE,47766
101,FUKUYAMA,47767
102,OKAYAMA,47768
103,HIMEJI,47769
104,KOBE,47770
105,OSAKA,47772
106,SUMOTO,47776
107,WAKAYAMA,47777
108,SHIONOMISAKI,47778
109,NARA,47780
110,YAMAGUCHI,47784
111,IZUHARA,47800
112,HIRADO,47805
113,FUKUOKA,47807
114,IIZUKA,47809
115,SASEBO,47812
116,SAGA,47813
117,HITA,47814
118,OITA,47815
119,NAGASAKI,47817
120,UNZENDAKE,47818
121,KUMAMOTO,47819
122,ASOSAN,47821
123,NOBEOKA,47822
124,AKUNE,47823
125,HITOYOSHI,47824
126,KAGOSHIMA,47827
127,MIYAKONOJO,47829
128,MIYAZAKI,47830
129,MAKURAZAKI,47831
130,ABURATSU,47835
131,YAKUSHIMA,47836
132,TANEGASHIMA,47837
133,USHIBUKA,47838
134,FUKUE,47843
135,MATSUYAMA,47887
136,TADOTSU,47890
137,TAKAMATSU,47891
138,UWAJIMA,47892
139,KOCHI,47893
140,TOKUSHIMA,47895
141,SUKUMO,47897
142,SHIMIZU,47898
143,MUROTOMISAKI,47899
144,NAZE,47909
145,YONAGUNIJIMA,47912
146,IRIOMOTEJIMA,47917
147,ISHIGAKIJIMA,47918
148,MIYAKOJIMA,47927
149,KUMEJIMA,47929
150,NAHA,47936
151,NAGO,47940
152,OKINOERABU,47942
153,MINAMIDAITOJIMA,47945
154,CHICHIJIMA,47971
155,MINAMITORISHIMA,47991
156,SYOWA,"89532
"
